,rid,treatment,number,trait,coder1,coder2
311,64af493c-ca5e-e646-b772-98a23e642ab9,specific,trait8,Don'tknow,14,14
312,64af6c3a-1d1f-445c-e869-9607e3bb580b,general,trait9,dont know,14,14
313,64af5cc7-3a86-7e3a-8a07-9d9dde0961e8,neighbor,trait2,Door,14,14
314,64af5cc7-3a86-7e3a-8a07-9d9dde0961e8,neighbor,trait3,Doorbell,14,14
315,64af783d-846e-c206-a8c9-ca99f689f14d,friend,trait4,Down to earth,12,12
316,64af7226-044e-72fd-3068-75f88bada5be,specific,trait4,Dreamer ,12,12
317,64af47d9-f7f6-d1e3-43e3-8afcfab95087,coworker,trait3,Ease,13,12
318,64af47b0-9021-5022-768d-b91f29f7a5d8,coworker,trait3,Easy to get along with ,12,12
319,64af7586-09d7-d31b-9a1a-f3006a0f9f2f,neighbor,trait6,Easygoing,12,12
320,64af477e-6188-f2ce-d978-1b2bea37eec3,specific,trait6,Easygoing,12,12
321,64af5c4c-725e-6f0d-07cc-4c9c167835e4,general,trait2,Eclectic,12,12
322,64af47e8-8c43-df4d-b0d6-5fdf46567453,general,trait10,educated,5,5
323,64af4859-0cef-fce3-77ec-a74be68b9944,general,trait3,Educated,5,5
324,64af4728-d1a4-de80-f402-d30f21ffcb20,specific,trait10,Educated ,5,5
325,64af46c3-9044-43dc-325d-4b64f5477846,neighbor,trait5,education,5,5
326,64af654f-2bfa-7795-6da7-b2be8593d728,neighbor,trait4,education,5,5
327,64af4769-80af-abe8-653f-012b04409368,specific,trait5,Education,5,5
328,64af47e8-8c43-df4d-b0d6-5fdf46567453,general,trait7,education,5,5
329,64afe365-56e9-44a5-ea0b-98eb1b50875d,neighbor,trait4,education level,5,5
330,64af674b-3fd3-3039-10ee-b1c4c72ddae0,friend,trait5,Educational background or major,5,5
331,64af63ff-8941-7d2a-ceff-bc53d7eadd5e,coworker,trait4,efficient,12,12
332,64af7aa5-84fb-70b2-ffe9-17e1b494a5be,coworker,trait6,Efficient ,12,12
333,64af5eec-2e74-d863-3989-96a1d37385ec,friend,trait4,emapathy,12,12
334,64af479f-8b59-4bb6-99e4-4f13539d2fe1,specific,trait9,Emotional,12,12
335,64af696c-86ba-0996-dc27-9b4360bc4461,coworker,trait1,Empathetic,12,12
336,64af49f3-f897-5ce1-7d68-a5889548efef,specific,trait3,empathetic,12,12
337,64af5f31-c372-0008-009b-728a71afe522,general,trait4,Empathetic,12,12
338,64af482d-28b8-56ad-1875-3f26d175d91d,specific,trait2,Empathetic ,12,12
339,64af6983-12bf-c908-ad91-a58fe2d192df,specific,trait6,empathetic ,12,12
340,64af63f7-55b4-ea5e-6b0f-09e58a5da81a,specific,trait3,Empathetic ,12,12
341,64af4823-6964-dd22-230c-838abd142e99,specific,trait1,Empathetic ,12,12
342,64af47a6-78ce-a60c-2f13-070d80ab1052,specific,trait5,Empathetic ,12,12
343,64af4993-9962-d8f5-306c-de7704f248c2,general,trait6,empathetic ,12,12
344,64af6d00-2801-d832-ad38-2c8cfccf7d58,general,trait2,Empathetic ,12,12
345,64af4811-d11a-6391-ae41-c75313a0aa42,specific,trait5,Empathic,12,12
346,64af6df1-2fac-a26e-323b-c74ab6ec9476,coworker,trait4,Empathy,12,12
347,64afb89a-418a-3c65-fdeb-568eeeb1a20b,specific,trait2,Empathy,12,12
348,64af693a-9d3d-d09a-9b30-d9aa28bcc615,specific,trait7,Empathy ,12,12
349,64af4880-e170-b88a-887c-b8ca98798967,general,trait1,Emphatic ,12,12
350,64af478e-958e-213d-a5df-c143fa742dce,friend,trait3,Employed,8,8
351,64af46c3-9044-43dc-325d-4b64f5477846,neighbor,trait7,employment,8,8
352,64afb89a-418a-3c65-fdeb-568eeeb1a20b,specific,trait9,Encouragement,12,12
353,64af4863-2241-0c3f-9b4f-20da57b56a2e,specific,trait4,Energetic ,12,12
354,64af6310-932c-8f52-4439-c809b0c88e35,specific,trait10,Energetic ,12,12
355,64af635c-a42a-87d7-d73c-fd9eb3ebac9c,general,trait2,Engineering,8,8
356,64af485b-72de-6d3f-42db-c272d348fdba,friend,trait1,Enjoy Baseball games,12,10
357,64af485b-72de-6d3f-42db-c272d348fdba,friend,trait3,Enjoy bowling,12,10
358,64af485b-72de-6d3f-42db-c272d348fdba,friend,trait2,Enjoy Football games,12,10
359,64af47c7-7964-6b54-a89f-4501d75410af,friend,trait7,enjoys yoga,12,10
360,64af493c-ca5e-e646-b772-98a23e642ab9,specific,trait10,Enough ,14,14
361,64af63ff-8941-7d2a-ceff-bc53d7eadd5e,coworker,trait2,entertaining,12,12
362,64af482b-98b0-bc23-797b-0d39bb876a61,general,trait4,Enthusiast,12,12
363,64af4859-0cef-fce3-77ec-a74be68b9944,general,trait5,Entrepreneurial ,12,12
364,64af5dd4-0afc-9eb1-eaee-e9b45a8b5f7b,specific,trait3,ethical,12,12
365,64afe667-ae7b-fdd3-dc3f-f7b8b5434a4b,coworker,trait1,ethics,12,12
366,64af47e8-8c43-df4d-b0d6-5fdf46567453,general,trait3,ethics,12,12
367,64af4769-80af-abe8-653f-012b04409368,specific,trait4,Ethnicity,4,12
368,64af4943-aa1a-6940-3f7e-0202f2efc3fb,coworker,trait9,Evil,12,12
369,64af47d5-6512-954b-ed87-365fb6977bc6,neighbor,trait2,Ex cons,12,12
370,64af4bfb-e9ae-f6bf-6e6d-a4f2366ae672,specific,trait9,Excited,12,12
371,64af482b-98b0-bc23-797b-0d39bb876a61,general,trait5,Excited,12,12
372,64af4946-214b-1baf-c6ce-a405b8b4e24c,general,trait6,exciting,12,12
373,64af6188-c51a-86a9-0eb4-35d866c2833e,coworker,trait3,Experience ,13,12
374,64af4859-0cef-fce3-77ec-a74be68b9944,general,trait6,Experienced ,13,12
375,64af4948-2fe3-d7f9-fbb9-223d80418f62,coworker,trait5,Fair,12,12
376,64af674b-3fd3-3039-10ee-b1c4c72ddae0,friend,trait1,Faith,13,6
377,64afdaaa-d3b6-2040-b715-e7fc28d6496f,general,trait3,faithful,12,12
378,64af47a6-78ce-a60c-2f13-070d80ab1052,specific,trait4,Faithful ,12,12
379,64af4792-e438-df90-c5d1-34f8a413a859,neighbor,trait2,family,7,7
380,64af4bfb-e9ae-f6bf-6e6d-a4f2366ae672,specific,trait8,Family,7,7
381,64af47da-9ef3-feab-bf2a-79620b670459,specific,trait4,Family,7,7
382,64af477e-6188-f2ce-d978-1b2bea37eec3,specific,trait3,Family,7,7
383,64af47e8-8c43-df4d-b0d6-5fdf46567453,general,trait5,family,7,7
384,64af7d60-a27d-e72c-e7fb-9b016fb33657,specific,trait1,Family ,7,7
385,64af624a-6d51-e8b9-fa17-147338f28514,general,trait6,Family ,7,7
386,64af4797-6a54-04b7-2231-e1601df0f20c,general,trait4,Family ,7,7
387,64af674b-3fd3-3039-10ee-b1c4c72ddae0,friend,trait6,Family closeness,12,7
388,64af479f-8b59-4bb6-99e4-4f13539d2fe1,specific,trait2,Family oriented,12,7
389,64af5dd4-0afc-9eb1-eaee-e9b45a8b5f7b,specific,trait8,family oriented,12,7
390,64af4740-c673-062a-7f23-dce5d2723c30,general,trait4,FAMILY ORIENTED,12,7
391,64af4880-e170-b88a-887c-b8ca98798967,general,trait8,Family oriented ,12,7
392,64af47d5-d253-b1e5-d37e-6c5e4c71c0c1,coworker,trait3,fast,12,13
393,64af46c9-11e3-8a07-0977-57f0daf977f2,specific,trait2,Fat,11,11
394,64af5eba-840c-cca9-31f6-d63a8536c231,specific,trait9,Father,7,7
395,64af4847-b740-32c2-fc46-2919d29267cd,specific,trait10,Father ,7,7
396,64afd556-f2d8-6f04-7066-80a56d03d015,coworker,trait4,Fear of missing,13,12
397,64af5d9b-1136-2a7c-f84d-b54b32f3f859,specific,trait2,Female,2,2
398,64af5dd4-0afc-9eb1-eaee-e9b45a8b5f7b,specific,trait6,female,2,2
399,64af4bfb-e9ae-f6bf-6e6d-a4f2366ae672,specific,trait5,Fit,11,11
400,64af4794-0621-3036-464a-64588d30e10d,coworker,trait3,focused,12,12
401,64afd556-f2d8-6f04-7066-80a56d03d015,coworker,trait3,FOMO,13,12
402,64af624a-6d51-e8b9-fa17-147338f28514,general,trait9,Food,14,14
403,64af4855-b939-85b7-d1fe-233895d6abe5,friend,trait6,Forgiveness,12,12
404,64af4847-4a29-2493-e176-097f7a869d23,friend,trait4,forgiving,12,12
405,64afd3e6-e247-e7bf-8a7c-32199e60e5a8,specific,trait9,forward thinker,12,12
406,64af4948-2fe3-d7f9-fbb9-223d80418f62,coworker,trait6,Forward thinking,12,12
407,64af4bfb-e9ae-f6bf-6e6d-a4f2366ae672,specific,trait3,Free,14,12
408,64af4946-214b-1baf-c6ce-a405b8b4e24c,general,trait2,free,14,12
409,64afe6a3-aa8c-22fb-0369-29038f03de0f,general,trait1,Freedom,14,12
410,64af5059-6c35-7f09-95af-8e4899592afa,friend,trait8,freindly,12,12
411,64af5d9b-1136-2a7c-f84d-b54b32f3f859,specific,trait6,Friend,14,12
412,64af4728-d1a4-de80-f402-d30f21ffcb20,specific,trait2,Friend,14,12
413,64af482b-98b0-bc23-797b-0d39bb876a61,general,trait1,Friend,14,12
414,64af46c3-9044-43dc-325d-4b64f5477846,neighbor,trait2,friendliness,12,12
415,64afe365-56e9-44a5-ea0b-98eb1b50875d,neighbor,trait1,friendliness,12,12
416,64af5d8a-2659-bad9-3234-72a26df5ba9c,neighbor,trait1,friendliness,12,12
417,64af5e5a-f6ad-afd1-faed-6de97222fb61,friend,trait1,Friendliness,12,12
418,64af5da0-2ac0-88e0-8cbb-b2dbcae777d8,neighbor,trait1,Friendliness ,12,12
419,64af63ff-8941-7d2a-ceff-bc53d7eadd5e,coworker,trait6,friendly,12,12
420,64af7aa5-84fb-70b2-ffe9-17e1b494a5be,coworker,trait4,Friendly,12,12
421,64af686d-9521-0c2c-3eb7-262d5e1e8988,coworker,trait3,Friendly,12,12
422,64af476e-1998-e3e3-3e3e-00ee8108d2c5,coworker,trait1,friendly,12,12
423,64af48a1-f175-35c7-8317-98d67535c944,neighbor,trait3,Friendly,12,12
424,64af4910-9e46-3416-aad8-e97bb1b61ad0,neighbor,trait2,Friendly,12,12
425,64af481a-b30b-1386-35db-53f82f3c5272,neighbor,trait2,friendly,12,12
426,64af47dd-8767-ebc2-2012-2e462ad7294d,neighbor,trait2,friendly,12,12
427,64af481a-7249-7534-93b0-49ce135fbd34,neighbor,trait2,Friendly,12,12
428,64af4aa3-00c5-3c68-09ba-cfb111a6ebb4,neighbor,trait3,Friendly,12,12
429,64af476e-7dfc-8217-488c-fffc58640357,neighbor,trait1,Friendly,12,12
430,64af4858-6385-24f6-cbfa-3951c3e6b642,neighbor,trait1,Friendly,12,12
431,64af4ad2-502a-1603-4c71-e3fd4aee61a4,neighbor,trait1,Friendly,12,12
432,64af4792-e438-df90-c5d1-34f8a413a859,neighbor,trait3,friendly,12,12
433,64af6ec5-4f5d-8076-2769-7be6201e982d,friend,trait3,Friendly,12,12
434,64af78ed-e729-99c8-e7c8-665686c72da6,friend,trait3,friendly,12,12
435,64af47df-7584-e7ef-48d1-6f9aeca862ac,friend,trait8,Friendly,12,12
436,64af47dd-1e3d-34b9-a055-1020e8ff1d67,friend,trait1,friendly,12,12
437,64af485b-72de-6d3f-42db-c272d348fdba,friend,trait4,Friendly,12,12
438,64afd3e6-e247-e7bf-8a7c-32199e60e5a8,specific,trait5,friendly,12,12
439,64af7889-f83a-b717-b507-260ab6b7820b,specific,trait7,Friendly,12,12
440,64af6983-12bf-c908-ad91-a58fe2d192df,specific,trait4,friendly,12,12
441,64af4e10-07c8-4b88-b526-f6cd841590f7,specific,trait4,Friendly,12,12
442,64af477e-6188-f2ce-d978-1b2bea37eec3,specific,trait1,Friendly,12,12
443,64af4912-88d5-6faf-f9ec-6257b133c62e,general,trait8,Friendly,12,12
444,64af62a6-e43c-4461-df5c-880fbbcac107,neighbor,trait2,Friendly ,12,12
445,64af48bc-1fda-67cd-822b-2685e8d4722f,neighbor,trait4,Friendly ,12,12
446,64af6479-44b3-38e7-66ee-901ee4dca923,neighbor,trait5,Friendly ,12,12
447,64af476f-a555-ba2f-13d7-16d6d504609a,neighbor,trait1,Friendly ,12,12
448,64af7067-2fdf-5ff5-bfa4-5033fdba7503,neighbor,trait1,Friendly ,12,12
449,64af4b9c-8085-748a-3af4-8a320de06c02,neighbor,trait1,Friendly ,12,12
450,64af476a-6ca0-dd7c-3ec6-b95c3b64952f,neighbor,trait3,Friendly ,12,12
451,64af4a0c-b70e-52f7-2f15-648185412c3a,neighbor,trait5,Friendly ,12,12
452,64af478e-958e-213d-a5df-c143fa742dce,friend,trait2,Friendly ,12,12
453,64af4830-acb0-b4d8-a182-764f77eb5a6c,friend,trait1,Friendly ,12,12
454,64af4a47-ceb4-1d30-2ff7-8c98eeab993a,specific,trait2,Friendly ,12,12
455,64af6b19-0eff-2013-27e2-2a53c8d47f63,specific,trait6,Friendly ,12,12
456,64af47f6-4ba4-18db-6d4b-2395820dca81,friend,trait5,Friendly and outgoing personality ,12,12
457,64af6e59-f057-e158-8d21-faecc0dd9b60,neighbor,trait3,Friendly but not overly friendly,12,12
458,64af4810-a94e-d38b-91f9-2191aa0ac1d7,neighbor,trait8,Friends,14,12
459,64af4786-cf86-1aa9-3354-14ff79cd925d,friend,trait2,friendship,14,14
460,64af73b4-c7ec-8d80-23b4-a247a93ef43c,general,trait4,Friendship ,14,14
461,64af4b6e-ae41-bb1d-b5d9-9f3046fd377e,neighbor,trait2,fun,12,12
462,64af4810-a94e-d38b-91f9-2191aa0ac1d7,neighbor,trait9,Fun,12,12
463,64af6479-44b3-38e7-66ee-901ee4dca923,neighbor,trait1,Fun,12,12
464,64af4db8-44c0-88ed-4bed-db398a99a520,friend,trait4,Fun,12,12
465,64af6dc5-e019-18de-cf30-bb140643d009,friend,trait7,Fun,12,12
466,64af5059-6c35-7f09-95af-8e4899592afa,friend,trait2,fun,12,12
467,64af47df-7584-e7ef-48d1-6f9aeca862ac,friend,trait1,Fun,12,12
468,64af4830-acb0-b4d8-a182-764f77eb5a6c,friend,trait3,fun,12,12
469,64af47dd-1e3d-34b9-a055-1020e8ff1d67,friend,trait2,fun,12,12
470,64af5d7d-ae0b-3a4d-4f32-676278a40d64,friend,trait4,Fun,12,12
471,64af4afd-ba85-0446-47f1-d7b65f2712ab,specific,trait5,fun,12,12
472,64af47f3-bc71-2b6a-14f3-165e8efeeb69,specific,trait4,Fun,12,12
473,64afe526-99f9-a2e2-280a-4b82cac8c41c,specific,trait6,fun,12,12
474,64af4c62-ec8c-e842-d1e0-bad5b962638a,general,trait10,Fun,12,12
475,64af64e5-5950-df6c-c07d-445f2f9faeb1,neighbor,trait5,Fun ,12,12
476,64af479e-58a1-fb9f-6b6a-ae4e012deb56,coworker,trait3,Fun loving,12,12
477,64af479f-8b59-4bb6-99e4-4f13539d2fe1,specific,trait5,Fun loving,12,12
478,64af6310-932c-8f52-4439-c809b0c88e35,specific,trait3,Funby,12,12
479,64af487b-7f26-8260-2fb9-a4f5c1be764b,coworker,trait6,Funny,12,12
480,64af50b5-7684-c37b-81f7-6df54c4ce2df,coworker,trait1,Funny,12,12
481,64af4def-1b72-7648-6c97-8043502e8184,coworker,trait5,Funny,12,12
482,64af6479-44b3-38e7-66ee-901ee4dca923,neighbor,trait2,Funny,12,12
483,64af4858-6385-24f6-cbfa-3951c3e6b642,neighbor,trait4,Funny,12,12
484,64af4847-4a29-2493-e176-097f7a869d23,friend,trait3,funny,12,12
485,64af5059-6c35-7f09-95af-8e4899592afa,friend,trait1,funny,12,12
486,64af5d6f-738c-4331-df24-6981b9031770,specific,trait4,funny,12,12
487,64af7226-044e-72fd-3068-75f88bada5be,specific,trait6,Funny,12,12
488,64af6dcd-b15d-25ba-769f-e44302e35291,specific,trait5,Funny,12,12
489,64af4e10-07c8-4b88-b526-f6cd841590f7,specific,trait1,Funny,12,12
490,64af66a1-4702-ba87-bb2c-ea77a9c6bd9f,specific,trait1,Funny,12,12
491,64af49f3-f897-5ce1-7d68-a5889548efef,specific,trait7,funny,12,12
492,64af4780-304a-a72b-c347-08145c14aa0d,general,trait3,Funny,12,12
493,64af4740-c673-062a-7f23-dce5d2723c30,general,trait10,FUNNY,12,12
494,64af4946-214b-1baf-c6ce-a405b8b4e24c,general,trait5,funny,12,12
495,64af682b-12a9-9121-94ca-1c4d836f0d90,general,trait6,Funny,12,12
496,64af479b-9b04-d530-34ca-d1f8af4bc3a1,general,trait1,Funny,12,12
497,64afdaaa-d3b6-2040-b715-e7fc28d6496f,general,trait6,funny,12,12
498,64af7067-2fdf-5ff5-bfa4-5033fdba7503,neighbor,trait10,Funny ,12,12
499,64af4afd-ba85-0446-47f1-d7b65f2712ab,specific,trait2,funny ,12,12
500,64af4fdd-5286-ef64-df9e-d8fd3233673e,general,trait1,funny ,12,12
501,64af4879-eb36-b307-41e9-12663d95ba72,coworker,trait5,Funny.,12,12
502,64af4b6e-ae41-bb1d-b5d9-9f3046fd377e,neighbor,trait10,gang,14,8
503,64af5cc7-3a86-7e3a-8a07-9d9dde0961e8,neighbor,trait1,Garden,14,13
504,64afe526-99f9-a2e2-280a-4b82cac8c41c,specific,trait2,gay,3,3
505,64af5f4f-4c59-6faa-ad7c-1634802c4f5e,general,trait2,Gay,3,3
506,64af4769-80af-abe8-653f-012b04409368,specific,trait2,Gender,2,2
507,64af4797-6a54-04b7-2231-e1601df0f20c,general,trait2,Gender,2,2
508,64af4a0c-b70e-52f7-2f15-648185412c3a,neighbor,trait3,Gender ,2,2
509,64afb89a-418a-3c65-fdeb-568eeeb1a20b,specific,trait5,Generous,12,12
510,64af4e10-07c8-4b88-b526-f6cd841590f7,specific,trait6,Generous,12,12
511,64af62a6-e43c-4461-df5c-880fbbcac107,neighbor,trait3,Generous ,12,12
512,64af5d7d-ae0b-3a4d-4f32-676278a40d64,friend,trait10,Generous ,12,12
513,64af693a-9d3d-d09a-9b30-d9aa28bcc615,specific,trait10,Generous ,12,12
514,64af6b19-0eff-2013-27e2-2a53c8d47f63,specific,trait4,Generous ,12,12
515,64af7b75-2458-e518-dbde-616d2f2a6799,specific,trait3,Gentle,12,12
516,64af4aa2-e012-ac94-64ac-20847af53f8e,friend,trait2,genuine,12,12
517,64af4855-b939-85b7-d1fe-233895d6abe5,friend,trait2,Genuine ,12,12
518,64af6de3-4081-1d80-de1c-8bc83d3dca5a,general,trait8,Genuine ,12,12
519,64af476e-1998-e3e3-3e3e-00ee8108d2c5,coworker,trait3,gets along with other people,12,12
520,64af62a6-e43c-4461-df5c-880fbbcac107,neighbor,trait5,Giving,12,12
521,64af7b75-2458-e518-dbde-616d2f2a6799,specific,trait6,Giving,12,12
522,64af5dd4-0afc-9eb1-eaee-e9b45a8b5f7b,specific,trait5,giving,12,12
523,64af6de3-4081-1d80-de1c-8bc83d3dca5a,general,trait5,Giving,12,12
524,64af4fdd-5286-ef64-df9e-d8fd3233673e,general,trait3,giving,12,12
525,64af7226-044e-72fd-3068-75f88bada5be,specific,trait8,Giving ,12,12
526,64af49f3-f897-5ce1-7d68-a5889548efef,specific,trait9,glutenous,14,14
527,64af7d60-a27d-e72c-e7fb-9b016fb33657,specific,trait7,God ,13,6
528,64af49f3-2d06-c7b7-d3dd-b2ea7095dd36,general,trait3,Good,12,12
529,64af47f4-28e6-fea8-ff62-d870eef4fc50,coworker,trait3,Good ,12,12
530,64af5ee3-8098-15c3-7de0-006aaa932325,specific,trait3,good ,12,12
531,64af47d9-f7f6-d1e3-43e3-8afcfab95087,coworker,trait4,Good boss,12,12
532,64af485b-72de-6d3f-42db-c272d348fdba,friend,trait5,Good communicator,12,12
533,64af4740-c673-062a-7f23-dce5d2723c30,general,trait5,GOOD LIFE,13,12
534,64af6dcd-b15d-25ba-769f-e44302e35291,specific,trait10,Good listener,12,12
535,64af493c-ca5e-e646-b772-98a23e642ab9,specific,trait3,Good listener ,12,12
536,64af6d00-2801-d832-ad38-2c8cfccf7d58,general,trait7,Good listener ,12,12
537,64af7586-09d7-d31b-9a1a-f3006a0f9f2f,neighbor,trait5,Good natured,12,12
538,64af47e8-8c43-df4d-b0d6-5fdf46567453,general,trait4,good neighbor,12,12
539,64af4b6e-ae41-bb1d-b5d9-9f3046fd377e,neighbor,trait7,good people,12,12
540,64af4792-e438-df90-c5d1-34f8a413a859,neighbor,trait4,good people,12,12
541,64af49d8-d323-55b5-d70f-4f2ae1d43ef2,neighbor,trait1,good person,12,12
542,64af4830-acb0-b4d8-a182-764f77eb5a6c,friend,trait2,good sense of humor,12,12
543,64af47f9-f7eb-daee-8857-07a893754860,coworker,trait1,Good work ethics,12,12
544,64af4855-b939-85b7-d1fe-233895d6abe5,friend,trait5,Grace,12,12
545,64af5d9b-1136-2a7c-f84d-b54b32f3f859,specific,trait8,Grandmother,7,7
546,64af5eba-840c-cca9-31f6-d63a8536c231,specific,trait10,Grandparent,7,7
547,64af5c4c-725e-6f0d-07cc-4c9c167835e4,general,trait8,Gravitas,12,12
548,64af6de3-4081-1d80-de1c-8bc83d3dca5a,general,trait10,Great,12,12
549,64af47f4-28e6-fea8-ff62-d870eef4fc50,coworker,trait1,Great ,12,12
550,64af4879-eb36-b307-41e9-12663d95ba72,coworker,trait1,Great communicator.,12,12
551,64af6de3-4081-1d80-de1c-8bc83d3dca5a,general,trait6,Great friend,12,12
552,64af5ee3-8098-15c3-7de0-006aaa932325,specific,trait2,haappy,12,12
553,64af477e-6188-f2ce-d978-1b2bea37eec3,specific,trait4,Happiness,12,12
554,64af4cc1-c4f2-27a4-6f31-83ae7de1044a,friend,trait3,Happy,12,12
555,64afd3e6-e247-e7bf-8a7c-32199e60e5a8,specific,trait7,happy,12,12
556,64af7889-f83a-b717-b507-260ab6b7820b,specific,trait6,Happy,12,12
557,64af4a8e-a067-f5fe-0c78-054182d8aaee,specific,trait5,happy,12,12
558,64af4a8e-a067-f5fe-0c78-054182d8aaee,specific,trait10,happy,12,12
559,64af4afd-ba85-0446-47f1-d7b65f2712ab,specific,trait7,happy,12,12
560,64af4ac4-c9f2-b9cd-d214-04f7b7f4d639,specific,trait6,Happy,12,12
561,64af4bfb-e9ae-f6bf-6e6d-a4f2366ae672,specific,trait4,Happy,12,12
562,64afe526-99f9-a2e2-280a-4b82cac8c41c,specific,trait9,happy,12,12
563,64af4780-304a-a72b-c347-08145c14aa0d,general,trait7,Happy,12,12
564,64af4a1b-503c-23de-8614-b7941e01a442,coworker,trait2,Hard Work,12,12
565,64af5ef5-9aa8-d462-da75-44f4c1634b9d,coworker,trait3,hard worker,12,12
566,64af6f1b-4fc9-7dde-43fb-07d110a9425e,coworker,trait3,Hard worker,12,12
567,64af47b0-9021-5022-768d-b91f29f7a5d8,coworker,trait4,Hard worker,12,12
568,64af783d-846e-c206-a8c9-ca99f689f14d,friend,trait10,Hard worker,12,12
569,64af46c9-11e3-8a07-0977-57f0daf977f2,specific,trait10,Hard worker,12,12
570,64af4740-c673-062a-7f23-dce5d2723c30,general,trait9,HARD WORKER,12,12
571,64af4bb7-138c-25aa-ad1c-22d04c36cf57,coworker,trait1,Hard worker ,12,12
572,64af6310-932c-8f52-4439-c809b0c88e35,specific,trait5,Hard worker ,12,12
573,64af72a9-dc05-8820-3911-c034315296e6,coworker,trait2,Hard Working,12,12
574,64af63ff-8941-7d2a-ceff-bc53d7eadd5e,coworker,trait3,hard working,12,12
575,64af4948-2fe3-d7f9-fbb9-223d80418f62,coworker,trait4,Hard working,12,12
576,64af633e-7784-78ee-e986-1b46b65d255b,coworker,trait4,Hard working,12,12
577,64af4865-fb4a-80c6-1b74-58b375ad57cb,coworker,trait1,Hard working,12,12
578,64af4def-1b72-7648-6c97-8043502e8184,coworker,trait4,Hard working,12,12
579,64af5d6f-738c-4331-df24-6981b9031770,specific,trait7,hard working,12,12
580,64afd3e6-e247-e7bf-8a7c-32199e60e5a8,specific,trait2,hard working,12,12
581,64af4a8e-a067-f5fe-0c78-054182d8aaee,specific,trait8,hard working,12,12
582,64af6d00-2801-d832-ad38-2c8cfccf7d58,general,trait3,Hard working,12,12
583,64af4810-b4a8-427c-27c2-2b9893b1ebc2,general,trait2,hard working,12,12
584,64af4993-9962-d8f5-306c-de7704f248c2,general,trait9,hard working ,12,12
585,64af68ee-0956-f11d-c535-2a45265fc6cc,coworker,trait2,Hardwork,12,12
586,64af7889-f83a-b717-b507-260ab6b7820b,specific,trait2,Hardworker ,12,12
587,64af4848-bd3d-ae0f-b085-08b6fa05fa9b,coworker,trait2,Hardworking,12,12
588,64af4880-e170-b88a-887c-b8ca98798967,general,trait4,Hardworking,12,12
589,64af6569-177f-8078-2cd1-58dea16f9561,coworker,trait5,Hardworking ,12,12
590,64af5d92-7309-83d7-78a1-fe90ca4a3c4e,coworker,trait1,Hardworking ,12,12
591,64af4847-b740-32c2-fc46-2919d29267cd,specific,trait1,Hardworking ,12,12
592,64af4c47-50c5-7570-1ea1-70d83e5e7d23,specific,trait6,Hardworking ,12,12
593,64af624a-6d51-e8b9-fa17-147338f28514,general,trait7,Having fun,12,12
594,64af4810-a94e-d38b-91f9-2191aa0ac1d7,neighbor,trait7,Health,11,11
595,64af7c93-0867-27e9-ac5a-6d2d9f2ce647,specific,trait3,Health,11,11
596,64af4756-02f6-fe50-223f-5a76f1181a9e,general,trait1,Health,11,11
597,64af479b-c98b-950c-33d1-8e3b7c26017e,friend,trait5,healthy,11,11
598,64af4728-d1a4-de80-f402-d30f21ffcb20,specific,trait6,Healthy,11,11
599,64af4847-7db2-3ed8-ab14-e7ef2557e318,general,trait2,healthy,11,11
600,64af6d00-2801-d832-ad38-2c8cfccf7d58,general,trait10,Healthy ,11,11
601,64af6964-fdec-ee32-620b-fe4e0e72fe94,general,trait3,Heart,14,14
602,64af4fdd-5286-ef64-df9e-d8fd3233673e,general,trait10,heart breaker,12,12
603,64af6c3a-1d1f-445c-e869-9607e3bb580b,general,trait1,height,11,11
604,64af686d-9521-0c2c-3eb7-262d5e1e8988,coworker,trait4,Helpful,12,12
605,64af4831-cf25-f482-4a71-6b189cddd1ec,coworker,trait3,Helpful,12,12
606,64af476e-7dfc-8217-488c-fffc58640357,neighbor,trait3,Helpful,12,12
607,64af693a-9d3d-d09a-9b30-d9aa28bcc615,specific,trait8,Helpful,12,12
608,64af5d6f-738c-4331-df24-6981b9031770,specific,trait6,helpful,12,12
609,64af4e10-07c8-4b88-b526-f6cd841590f7,specific,trait7,Helpful,12,12
610,64af5eba-840c-cca9-31f6-d63a8536c231,specific,trait6,helpful,12,12
611,64af72a9-dc05-8820-3911-c034315296e6,coworker,trait4,Helpful ,12,12
612,64af4826-4157-e565-a4fd-ae67be5a4d6a,friend,trait3,Helpful ,12,12
613,64af6b19-0eff-2013-27e2-2a53c8d47f63,specific,trait5,Helpful ,12,12
614,64af4912-88d5-6faf-f9ec-6257b133c62e,general,trait2,Helpful ,12,12
615,64af7667-a5e0-f07b-f4fe-54745ef5641d,neighbor,trait4,Helpfulness,12,12
616,64af46c3-9044-43dc-325d-4b64f5477846,neighbor,trait3,helpfulness,12,12
617,64af489f-a59b-e67a-fb54-8142697eaa2b,general,trait2,Hermit,12,12
618,64af479b-9b04-d530-34ca-d1f8af4bc3a1,general,trait3,Hippie ,12,12
619,64af4810-a94e-d38b-91f9-2191aa0ac1d7,neighbor,trait4,Hobbies,10,10
620,64af674b-3fd3-3039-10ee-b1c4c72ddae0,friend,trait2,Hobbies & interests,10,10
621,64af5f4f-4c59-6faa-ad7c-1634802c4f5e,general,trait4,Homeless,15,15
622,64af479f-8b59-4bb6-99e4-4f13539d2fe1,specific,trait8,Homey,13,13
623,64af479e-58a1-fb9f-6b6a-ae4e012deb56,coworker,trait1,Honest,12,12
